-------------------------------
| Mnemonic | Opcode | Operand |
-------------------------------
| ldc      | 0      | value   |
| adc      | 1      | value   |
| ldl      | 2      | offset  |
| stl      | 3      | offset  |
| ldnl     | 4      | offset  |
| stnl     | 5      | offset  |
| add      | 6      |         |
| sub      | 7      |         |
| shl      | 8      |         |
| shr      | 9      |         |
| adj      | 10     | value   |
| a2sp     | 11     |         |
| sp2a     | 12     |         |
| call     | 13     | offset  |
| return   | 14     |         |
| brz      | 15     | offset  |
| brlz     | 16     | offset  |
| br       | 17     | offset  |
| HALT     | 18     |         |
-------------------------------
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000004, B=00000001
PC=00000034, SP=00000FFB, A=00000005, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A
PC=0000001E, SP=00000FFB, A=00000005, B=0000000A
PC=0000001F, SP=00000FFB, A=00000005, B=0000000A
PC=00000020, SP=00000FFB, A=00000005, B=0000000A
PC=00000021, SP=00000FFB, A=00000041, B=00000005
PC=00000022, SP=00000FFB, A=00000100, B=00000005
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000005, B=00000001
PC=00000034, SP=00000FFB, A=00000006, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A
PC=0000001E, SP=00000FFB, A=00000006, B=0000000A
PC=0000001F, SP=00000FFB, A=00000004, B=0000000A
PC=00000020, SP=00000FFB, A=00000004, B=0000000A
PC=00000021, SP=00000FFB, A=00000041, B=00000004
PC=00000022, SP=00000FFB, A=00000100, B=00000004
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000006, B=00000001
PC=00000034, SP=00000FFB, A=00000007, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A
PC=0000001E, SP=00000FFB, A=00000007, B=0000000A
PC=0000001F, SP=00000FFB, A=00000003, B=0000000A
PC=00000020, SP=00000FFB, A=00000003, B=0000000A
PC=00000021, SP=00000FFB, A=00000041, B=00000003
PC=00000022, SP=00000FFB, A=00000100, B=00000003
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000007, B=00000001
PC=00000034, SP=00000FFB, A=00000008, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A
PC=0000001E, SP=00000FFB, A=00000008, B=0000000A
PC=0000001F, SP=00000FFB, A=00000002, B=0000000A
PC=00000020, SP=00000FFB, A=00000002, B=0000000A
PC=00000021, SP=00000FFB, A=00000041, B=00000002
PC=00000022, SP=00000FFB, A=00000100, B=00000002
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000008, B=00000001
PC=00000034, SP=00000FFB, A=00000009, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A
PC=0000001E, SP=00000FFB, A=00000009, B=0000000A
PC=0000001F, SP=00000FFB, A=00000001, B=0000000A
PC=00000020, SP=00000FFB, A=00000001, B=0000000A
PC=00000021, SP=00000FFB, A=00000041, B=00000001
PC=00000022, SP=00000FFB, A=00000100, B=00000001
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000009, B=00000001
PC=00000034, SP=00000FFB, A=0000000A, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000000, B=0000000A
PC=0000001D, SP=00000FFB, A=0000000A, B=0000000A
PC=0000001E, SP=00000FFB, A=0000000A, B=0000000A
PC=0000001F, SP=00000FFB, A=00000000, B=0000000A
PC=00000036, SP=00000FFB, A=00000000, B=0000000A
PC=00000037, SP=00000FFB, A=00000001, B=00000000
PC=00000038, SP=00000FFB, A=00000000, B=00000001
PC=00000039, SP=00000FFB, A=00000001, B=00000001
PC=0000003A, SP=00000FFB, A=00000001, B=00000001
PC=0000003B, SP=00000FFB, A=00000001, B=00000001
PC=0000003C, SP=00000FFB, A=00000041, B=00000001
PC=0000003D, SP=00000FFB, A=00000042, B=00000001
PC=00000012, SP=00000FFB, A=00000042, B=00000001
PC=00000013, SP=00000FFB, A=0000000A, B=00000042
PC=00000014, SP=00000FFB, A=00000001, B=0000000A
PC=00000015, SP=00000FFB, A=00000009, B=0000000A
PC=00000016, SP=00000FFB, A=00000001, B=00000009
PC=00000017, SP=00000FFB, A=00000008, B=00000009
PC=00000018, SP=00000FFB, A=00000008, B=00000009
PC=00000019, SP=00000FFB, A=00000001, B=00000008
PC=0000001A, SP=00000FFB, A=00000008, B=00000008
PC=0000001B, SP=00000FFB, A=0000000A, B=00000008
PC=0000001C, SP=00000FFB, A=00000001, B=0000000A
PC=0000001D, SP=00000FFB, A=00000009, B=0000000A
PC=0000001E, SP=00000FFB, A=00000001, B=00000009
PC=0000001F, SP=00000FFB, A=00000008, B=00000009
PC=00000020, SP=00000FFB, A=00000008, B=00000009
PC=00000021, SP=00000FFB, A=00000041, B=00000008
PC=00000022, SP=00000FFB, A=00000100, B=00000008
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000001, B=00000001
PC=00000034, SP=00000FFB, A=00000002, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000001, B=0000000A
PC=0000001D, SP=00000FFB, A=00000009, B=0000000A
PC=0000001E, SP=00000FFB, A=00000002, B=00000009
PC=0000001F, SP=00000FFB, A=00000007, B=00000009
PC=00000020, SP=00000FFB, A=00000007, B=00000009
PC=00000021, SP=00000FFB, A=00000041, B=00000007
PC=00000022, SP=00000FFB, A=00000100, B=00000007
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000002, B=00000001
PC=00000034, SP=00000FFB, A=00000003, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000001, B=0000000A
PC=0000001D, SP=00000FFB, A=00000009, B=0000000A
PC=0000001E, SP=00000FFB, A=00000003, B=00000009
PC=0000001F, SP=00000FFB, A=00000006, B=00000009
PC=00000020, SP=00000FFB, A=00000006, B=00000009
PC=00000021, SP=00000FFB, A=00000041, B=00000006
PC=00000022, SP=00000FFB, A=00000100, B=00000006
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000003, B=00000001
PC=00000034, SP=00000FFB, A=00000004, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000001, B=0000000A
PC=0000001D, SP=00000FFB, A=00000009, B=0000000A
PC=0000001E, SP=00000FFB, A=00000004, B=00000009
PC=0000001F, SP=00000FFB, A=00000005, B=00000009
PC=00000020, SP=00000FFB, A=00000005, B=00000009
PC=00000021, SP=00000FFB, A=00000041, B=00000005
PC=00000022, SP=00000FFB, A=00000100, B=00000005
PC=00000023, SP=00000FFB, A=00000000, B=00000100
PC=00000024, SP=00000FFB, A=0000000B, B=00000100
PC=00000025, SP=00000FFB, A=000000F5, B=00000100
PC=00000026, SP=00000FFB, A=000000F5, B=00000100
PC=00000031, SP=00000FFB, A=000000F5, B=00000100
PC=00000032, SP=00000FFB, A=00000001, B=000000F5
PC=00000033, SP=00000FFB, A=00000004, B=00000001
PC=00000034, SP=00000FFB, A=00000005, B=00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001
PC=0000001A, SP=00000FFB, A=00000001, B=00000001
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001
PC=0000001C, SP=00000FFB, A=00000001, B=0000000A
PC=0000001D, SP=00000FFB, A=00000009, B=0000000A
PC=0000001E, SP=00000FFB, A=00000005, B=00000009
PC=0000001F, SP=00000FFB, A=00000004, B=00000009
PC=00000020, SP=00000FFB, A=00000004, B=00000009
PC=00000021, SP=00000FFB, A=00000041, B=00000004
PC=00000022, SP=00000FFB, A=00000100, B=00000004
